,Title,Star Rating,Price
87,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,17.93
88,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,22.6
89,The Black Maria,One,52.15
90,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,13.99
91,Shakespeare's Sonnets,Four,20.66
92,Set Me Free,Five,17.46
93,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,52.29
94,Rip it Up and Start Again,Five,35.02
95,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,57.25
96,Olio,One,23.88
97,Mesaerion: The Best Science Fiction Stories 1800-1849,One,37.59
98,Libertarianism for Beginners,Two,51.33
99,It's Only the Himalayas,Two,45.17
100,In Her Wake,One,12.84
101,How Music Works,Two,37.32
102,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,30.52
103,Chase Me (Paris Nights #2),Five,25.27
104,Black Dust,Five,34.53
105,Birdsong: A Story in Pictures,Three,54.64
106,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,22.5
107,Aladdin and His Wonderful Lamp,Three,53.13
108,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,40.3
109,Wall and Piece,Four,44.18
110,The Four Agreements: A Practical Guide to Personal Freedom,Five,17.66
111,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,31.05
112,The Elephant Tree,Five,23.82
113,The Bear and the Piano,One,36.89
114,Sophie's World,Five,15.94
115,Penny Maybe,Three,33.29
116,Maude (1883-1993):She Grew Up with the country,Two,18.02
117,"In a Dark, Dark Wood",One,19.63
118,Behind Closed Doors,Four,52.22
119,You can't bury them all: Poems,Two,33.63
120,Slow States of Collapse: Poems,Three,57.31
121,Reasons to Stay Alive,Two,26.41
122,Private Paris (Private #10),Five,47.61
123,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,23.11
124,Without Borders (Wanderlove #1),Two,45.07
125,When We Collided,One,31.77
126,"We Love You, Charlie Freeman",Five,50.27
127,Untitled Collection: Sabbath Poems 2014,Four,14.27
128,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,44.18
129,Unicorn Tracks,Three,18.78
130,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,25.52
131,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,16.28
132,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,31.12
133,This One Summer,Four,19.49
134,Thirst,Five,17.27
135,The Torch Is Passed: A Harding Family Story,One,19.09
136,The Secret of Dreadwillow Carse,One,56.13
137,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,56.41
138,The Past Never Ends,Four,56.5
139,The Natural History of Us (The Fine Art of Pretending #2),Three,45.22
140,The Nameless City (The Nameless City #1),Four,38.16
141,The Murder That Never Was (Forensic Instincts #5),Three,54.11
142,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,42.96
143,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,23.89
144,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77
145,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,20.59
146,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13
147,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06
148,The Death of Humanity: and the Case for Life,Four,58.11
149,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,49.05
150,The Art Forger,Three,40.76
151,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,19.73
152,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,32.24
153,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,41.83
154,Soul Reader,Two,39.58
155,Security,Two,39.25
156,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,25.02
157,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,51.04
158,Reskilling America: Learning to Labor in the Twenty-First Century,Two,19.83
159,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,50.4
160,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,13.61
161,Princess Between Worlds (Wide-Awake Princess #5),Five,13.34
162,"Pop Gun War, Volume 1: Gift",One,18.97
163,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,36.28
164,Patience,Three,10.16
165,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,15.44
166,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,48.41
167,Online Marketing for Busy Authors: A Step-By-Step Guide,One,46.35
168,On a Midnight Clear,Three,14.07
169,Obsidian (Lux #1),Two,14.86
170,My Paris Kitchen: Recipes and Stories,Two,33.37
171,Masks and Shadows,Two,56.4
172,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,14.02
173,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,46.91
174,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,45.61
175,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,19.92
176,"Layered: Baking, Building, and Styling Spectacular Cakes",One,40.11
177,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.9
178,Join,Five,35.67
179,In the Country We Love: My Family Divided,Four,22.0
180,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,57.36
181,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,29.17
182,I am a Hero Omnibus Volume 1,Three,54.63
183,How to Be Miserable: 40 Strategies You Already Use,One,46.03
184,Her Backup Boyfriend (The Sorensen Family #1),One,33.97
185,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,22.11
186,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,29.69
187,First and First (Five Boroughs #3),Four,15.97
188,Fifty Shades Darker (Fifty Shades #2),One,21.96
189,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35
190,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,37.97
191,Danganronpa Volume 1,Four,51.99
192,Crown of Midnight (Throne of Glass #2),Three,43.29
193,"Codename Baboushka, Volume 1: The Conclave of Death",Four,36.72
194,Camp Midnight,Four,17.08
195,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,29.14
196,Burning,Three,28.81
197,Bossypants,Two,49.46
198,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,37.92
199,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,28.09
200,Algorithms to Live By: The Computer Science of Human Decisions,One,30.81
201,A World of Flavor: Your Gluten Free Passport,One,42.95
202,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,56.76
203,A Murder in Time,One,16.64
204,A Flight of Arrows (The Pathfinders #2),Five,55.53
205,A Fierce and Subtle Poison,Four,28.13
206,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,52.37
207,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,54.0
208,You Are What You Love: The Spiritual Power of Habit,Four,21.87
209,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,43.3
210,Tuesday Nights in 1980,Two,21.04
211,Tracing Numbers on a Train,Three,41.6
212,Throne of Glass (Throne of Glass #1),Three,35.07
213,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,59.64
214,Thirteen Reasons Why,One,52.72
215,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,58.08
216,The Wedding Dress,One,24.12
217,The Vacationers,Four,42.15
218,The Third Wave: An Entrepreneur’s Vision of the Future,Five,12.61
219,The Stranger,Four,17.44
220,The Shadow Hero (The Shadow Hero),One,33.14
221,The Secret (The Secret #1),Four,27.37
222,The Regional Office Is Under Attack!,Five,51.36
223,The Psychopath Test: A Journey Through the Madness Industry,Two,36.0
224,The Project,One,10.65
225,The Power of Now: A Guide to Spiritual Enlightenment,Two,43.54
226,The Omnivore's Dilemma: A Natural History of Four Meals,Two,38.21
227,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Five,37.34
228,The Murder of Roger Ackroyd (Hercule Poirot #4),Four,44.1
229,The Mistake (Off-Campus #2),Three,43.29
230,The Matchmaker's Playbook (Wingmen Inc. #1),One,55.85
231,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Two,37.6
232,The Long Shadow of Small Ghosts: Murder and Memory in an American City,One,10.97
233,The Kite Runner,Four,41.82
234,The House by the Lake,One,36.95
235,The Glittering Court (The Glittering Court #1),One,44.28
236,The Girl on the Train,Two,55.02
237,The Genius of Birds,One,17.24
238,The Emerald Mystery,Two,23.15
239,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,One,41.25
240,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Three,32.0
241,The Artist's Way: A Spiritual Path to Higher Creativity,Five,38.49
242,The Art of War,Five,33.34
243,The Argonauts,Two,10.93
244,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Three,27.55
245,Suddenly in Love (Lake Haven #1),Two,55.99
246,Something More Than This,Four,16.24
247,Soft Apocalypse,Two,26.12
248,So You've Been Publicly Shamed,Two,12.23
249,Shoe Dog: A Memoir by the Creator of NIKE,Two,23.99
250,"Shobu Samurai, Project Aryoku (#3)",Three,29.06
251,Secrets and Lace (Fatal Hearts #1),One,20.27
252,Scarlett Epstein Hates It Here,Five,43.55
253,Romero and Juliet: A Tragic Tale of Love and Zombies,One,36.94
254,Redeeming Love,Five,20.47
255,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,One,41.06
256,Poems That Make Grown Women Cry,Four,14.19
257,"Nightingale, Sing",One,38.28
258,Night Sky with Exit Wounds,One,41.05
259,Mrs. Houdini,Five,30.25
260,A Light in the Attic,Three,51.77
261,Tipping the Velvet,One,53.74
262,Soumission,One,50.1
263,Sharp Objects,Four,47.82
264,Sapiens: A Brief History of Humankind,Five,54.23
265,The Requiem Red,One,22.65
266,The Dirty Little Secrets of Getting Your Dream Job,Four,33.34
267,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,17.93
268,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,22.6
269,The Black Maria,One,52.15
270,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,13.99
271,Shakespeare's Sonnets,Four,20.66
272,Set Me Free,Five,17.46
273,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,52.29
274,Rip it Up and Start Again,Five,35.02
275,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,57.25
276,Olio,One,23.88
277,Mesaerion: The Best Science Fiction Stories 1800-1849,One,37.59
278,Libertarianism for Beginners,Two,51.33
279,It's Only the Himalayas,Two,45.17
280,In Her Wake,One,12.84
281,How Music Works,Two,37.32
282,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,30.52
283,Chase Me (Paris Nights #2),Five,25.27
284,Black Dust,Five,34.53
285,Birdsong: A Story in Pictures,Three,54.64
286,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,22.5
287,Aladdin and His Wonderful Lamp,Three,53.13
288,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,40.3
289,Wall and Piece,Four,44.18
290,The Four Agreements: A Practical Guide to Personal Freedom,Five,17.66
291,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,31.05
292,The Elephant Tree,Five,23.82
293,The Bear and the Piano,One,36.89
294,Sophie's World,Five,15.94
295,Penny Maybe,Three,33.29
296,Maude (1883-1993):She Grew Up with the country,Two,18.02
297,"In a Dark, Dark Wood",One,19.63
298,Behind Closed Doors,Four,52.22
299,You can't bury them all: Poems,Two,33.63
300,Slow States of Collapse: Poems,Three,57.31
301,Reasons to Stay Alive,Two,26.41
302,Private Paris (Private #10),Five,47.61
303,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,23.11
304,Without Borders (Wanderlove #1),Two,45.07
305,When We Collided,One,31.77
306,"We Love You, Charlie Freeman",Five,50.27
307,Untitled Collection: Sabbath Poems 2014,Four,14.27
308,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,44.18
309,Unicorn Tracks,Three,18.78
310,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,25.52
311,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,16.28
312,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,31.12
313,This One Summer,Four,19.49
314,Thirst,Five,17.27
315,The Torch Is Passed: A Harding Family Story,One,19.09
316,The Secret of Dreadwillow Carse,One,56.13
317,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,56.41
318,The Past Never Ends,Four,56.5
319,The Natural History of Us (The Fine Art of Pretending #2),Three,45.22
320,The Nameless City (The Nameless City #1),Four,38.16
321,The Murder That Never Was (Forensic Instincts #5),Three,54.11
322,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,42.96
323,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,23.89
324,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77
325,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,20.59
326,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13
327,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06
328,The Death of Humanity: and the Case for Life,Four,58.11
329,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,49.05
330,The Art Forger,Three,40.76
331,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,19.73
332,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,32.24
333,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,41.83
334,Soul Reader,Two,39.58
335,Security,Two,39.25
336,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,25.02
337,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,51.04
338,Reskilling America: Learning to Labor in the Twenty-First Century,Two,19.83
339,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,50.4
340,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,13.61
341,Princess Between Worlds (Wide-Awake Princess #5),Five,13.34
342,"Pop Gun War, Volume 1: Gift",One,18.97
343,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,36.28
344,Patience,Three,10.16
345,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,15.44
346,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,48.41
347,Online Marketing for Busy Authors: A Step-By-Step Guide,One,46.35
348,On a Midnight Clear,Three,14.07
349,Obsidian (Lux #1),Two,14.86
350,My Paris Kitchen: Recipes and Stories,Two,33.37
351,Masks and Shadows,Two,56.4
352,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,14.02
353,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,46.91
354,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,45.61
355,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,19.92
356,"Layered: Baking, Building, and Styling Spectacular Cakes",One,40.11
357,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,53.9
358,Join,Five,35.67
359,In the Country We Love: My Family Divided,Four,22.0
360,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,57.36
361,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,29.17
362,I am a Hero Omnibus Volume 1,Three,54.63
363,How to Be Miserable: 40 Strategies You Already Use,One,46.03
364,Her Backup Boyfriend (The Sorensen Family #1),One,33.97
365,"Giant Days, Vol. 2 (Giant Days #5-8)",Two,22.11
366,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,29.69
367,First and First (Five Boroughs #3),Four,15.97
368,Fifty Shades Darker (Fifty Shades #2),One,21.96
369,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,54.35
370,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,37.97
371,Danganronpa Volume 1,Four,51.99
372,Crown of Midnight (Throne of Glass #2),Three,43.29
373,"Codename Baboushka, Volume 1: The Conclave of Death",Four,36.72
374,Camp Midnight,Four,17.08
375,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,29.14
376,Burning,Three,28.81
377,Bossypants,Two,49.46
378,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,37.92
379,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,28.09
380,Algorithms to Live By: The Computer Science of Human Decisions,One,30.81
381,A World of Flavor: Your Gluten Free Passport,One,42.95
382,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,56.76
383,A Murder in Time,One,16.64
384,A Flight of Arrows (The Pathfinders #2),Five,55.53
385,A Fierce and Subtle Poison,Four,28.13
386,A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,52.37
387,(Un)Qualified: How God Uses Broken People to Do Big Things,Five,54.0
388,You Are What You Love: The Spiritual Power of Habit,Four,21.87
389,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Four,43.3
390,Tuesday Nights in 1980,Two,21.04
391,Tracing Numbers on a Train,Three,41.6
392,Throne of Glass (Throne of Glass #1),Three,35.07
393,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,One,59.64
394,Thirteen Reasons Why,One,52.72
395,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Four,58.08
396,The Wedding Dress,One,24.12
397,The Vacationers,Four,42.15
398,The Third Wave: An Entrepreneur’s Vision of the Future,Five,12.61
399,The Stranger,Four,17.44
400,The Shadow Hero (The Shadow Hero),One,33.14
401,The Secret (The Secret #1),Four,27.37
402,The Regional Office Is Under Attack!,Five,51.36
403,The Psychopath Test: A Journey Through the Madness Industry,Two,36.0
404,The Project,One,10.65
405,The Power of Now: A Guide to Spiritual Enlightenment,Two,43.54
406,The Omnivore's Dilemma: A Natural History of Four Meals,Two,38.21
407,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Five,37.34
408,The Murder of Roger Ackroyd (Hercule Poirot #4),Four,44.1
409,The Mistake (Off-Campus #2),Three,43.29
410,The Matchmaker's Playbook (Wingmen Inc. #1),One,55.85
411,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Two,37.6
412,The Long Shadow of Small Ghosts: Murder and Memory in an American City,One,10.97
413,The Kite Runner,Four,41.82
414,The House by the Lake,One,36.95
415,The Glittering Court (The Glittering Court #1),One,44.28
416,The Girl on the Train,Two,55.02
417,The Genius of Birds,One,17.24
418,The Emerald Mystery,Two,23.15
419,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,One,41.25
420,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Three,32.0
421,The Artist's Way: A Spiritual Path to Higher Creativity,Five,38.49
422,The Art of War,Five,33.34
423,The Argonauts,Two,10.93
424,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Three,27.55
425,Suddenly in Love (Lake Haven #1),Two,55.99
426,Something More Than This,Four,16.24
427,Soft Apocalypse,Two,26.12
428,So You've Been Publicly Shamed,Two,12.23
429,Shoe Dog: A Memoir by the Creator of NIKE,Two,23.99
430,"Shobu Samurai, Project Aryoku (#3)",Three,29.06
431,Secrets and Lace (Fatal Hearts #1),One,20.27
432,Scarlett Epstein Hates It Here,Five,43.55
433,Romero and Juliet: A Tragic Tale of Love and Zombies,One,36.94
434,Redeeming Love,Five,20.47
435,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,One,41.06
436,Poems That Make Grown Women Cry,Four,14.19
437,"Nightingale, Sing",One,38.28
438,Night Sky with Exit Wounds,One,41.05
439,Mrs. Houdini,Five,30.25
440,Modern Romance,Five,28.26
441,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),One,10.76
442,Louisa: The Extraordinary Life of Mrs. Adams,Two,16.85
443,Little Red,Three,13.47
444,Library of Souls (Miss Peregrine’s Peculiar Children #3),Five,48.56
445,Large Print Heart of the Pride,Two,19.15
446,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Four,57.36
447,Hollow City (Miss Peregrine’s Peculiar Children #2),One,42.98
448,Grumbles,Two,22.16
449,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Four,49.43
450,Frostbite (Vampire Academy #2),Five,29.99
451,Follow You Home,One,21.36
452,First Steps for New Christians (Print Edition),One,29.0
453,Finders Keepers (Bill Hodges Trilogy #2),Five,53.53
454,"Fables, Vol. 1: Legends in Exile (Fables #1)",Four,41.62
455,Eureka Trivia 6.0,Four,54.59
